frame.time_epoch,ip.src,ip.dst,ip.len,icmp.type,udp.dstport,udp.length,tcp.flags.syn,tcp.flags.ack,tcp.dstport,tcp.seq,tcp.ack,ip.ttl,arp.src.proto_ipv4,arp.dst.proto_ipv4,arp.opcode
"1746182618.193436000","34.36.137.203","192.168.45.101","71",,"51848","51",,,,,,"53",,,
"1746182618.200452000","34.149.100.209","192.168.45.101","52",,,,"0","1","44972","1","223","116",,,
"1746182618.204492000","34.149.100.209","192.168.45.101","2852",,,,"0","1","44972","1","223","116",,,
"1746182618.204493000","34.149.100.209","192.168.45.101","382",,,,"0","1","44972","2801","223","116",,,
"1746182618.204515000","192.168.45.101","34.149.100.209","52",,,,"0","1","443","223","2801","64",,,
"1746182618.204606000","192.168.45.101","34.149.100.209","52",,,,"0","1","443","223","3131","64",,,
"1746182618.222768000","192.168.45.101","34.149.100.209","145",,,,"0","1","443","223","3131","64",,,
"1746182618.227783000","192.168.45.101","34.36.137.203","68",,"443","48",,,,,,"64",,,
"1746182618.238100000","142.250.207.99","192.168.45.101","60",,,,"1","1","39596","0","1","119",,,
"1746182618.238157000","192.168.45.101","142.250.207.99","52",,,,"0","1","80","1","1","64",,,
"1746182618.242496000","192.168.45.101","142.250.207.99","494",,,,"0","1","80","1","1","64",,,
"1746182618.242733000","34.149.100.209","192.168.45.101","363",,,,"0","1","44972","3131","316","116",,,
"1746182618.242734000","34.149.100.209","192.168.45.101","121",,,,"0","1","44972","3442","316","116",,,
"1746182618.242734000","34.36.137.203","192.168.45.101","71",,"51848","51",,,,,,"53",,,
"1746182618.277142000","192.168.45.101","34.36.137.203","68",,"443","48",,,,,,"64",,,
"1746182618.280972000","34.149.100.209","192.168.45.101","121",,,,"0","1","44972","3442","316","116",,,
"1746182618.281000000","192.168.45.101","34.149.100.209","64",,,,"0","1","443","316","3511","64",,,
"1746182618.292654000","34.36.137.203","192.168.45.101","71",,"51848","51",,,,,,"53",,,
"1746182618.309563000","142.250.207.99","192.168.45.101","52",,,,"0","1","39596","1","443","119",,,
"1746182618.322999000","192.168.45.101","34.36.137.203","68",,"443","48",,,,,,"64",,,
"1746182618.342324000","34.36.137.203","192.168.45.101","71",,"51848","51",,,,,,"53",,,
"1746182618.358482000","192.168.45.101","210.220.163.82","72",,"53","52",,,,,,"64",,,
"1746182618.358708000","192.168.45.101","210.220.163.82","72",,"53","52",,,,,,"64",,,
"1746182618.362546000","192.168.45.101","34.36.137.203","68",,"443","48",,,,,,"64",,,
"1746182618.389579000","210.220.163.82","192.168.45.101","171",,"58272","151",,,,,,"248",,,
"1746182618.389581000","210.220.163.82","192.168.45.101","195",,"39037","175",,,,,,"248",,,
"1746182618.390407000","192.168.45.101","203.251.233.147","60",,,,"1","0","80","0","0","64",,,
"1746182618.399445000","203.251.233.147","192.168.45.101","60",,,,"1","1","51862","0","1","54",,,
"1746182618.399480000","192.168.45.101","203.251.233.147","52",,,,"0","1","80","1","1","64",,,
"1746182618.399701000","192.168.45.101","203.251.233.147","491",,,,"0","1","80","1","1","64",,,
"1746182618.404619000","34.36.137.203","192.168.45.101","71",,"51848","51",,,,,,"53",,,
"1746182618.411328000","203.251.233.147","192.168.45.101","52",,,,"0","1","51862","1","440","54",,,
